"document","comment_id","type","start","end"
"NDY-003","5","positive feedback","0","18"
"NDY-003","41","positive feedback","17","58"
"NDY-003","71","affection declaration","0","17"
"NDY-003","76","affection declaration","24","59"
"NDY-003","76","group membership","60","86"
"NDY-003","76","positive feedback","135","173"
"NDY-003","76","affection declaration","176","204"
"NDY-003","76","positive feedback","209","248"
"NDY-003","76","positive feedback","251","286"
"NDY-003","76","affection declaration","342","353"
"NDY-003","84","positive feedback","58","79"
"NDY-003","87","positive feedback","0","7"
"NDY-003","97","encouragement","0","67"
"NDY-003","117","compliment","74","86"
"NDY-003","145","compliment","0","18"
"NDY-003","145","positive feedback","194","267"
"NDY-003","166","affection declaration","0","15"
"NDY-003","218","positive feedback","12","57"
"NDY-003","218","positive feedback","58","86"
"NDY-003","252","affection declaration","0","37"
"NDY-003","267","compliment","0","40"
"NDY-003","267","positive feedback","43","63"
"NDY-003","280","positive feedback","0","13"
"NDY-003","309","compliment","14","50"
"NDY-003","345","affection declaration","0","13"
"NDY-003","345","positive feedback","16","91"
"NDY-003","345","encouragement","92","101"
"NDY-003","362","positive feedback","0","8"
"NDY-003","362","compliment","9","27"
"NDY-003","375","positive feedback","0","21"
"NDY-003","375","compliment","22","31"
"NDY-003","378","positive feedback","0","18"
"NDY-003","397","positive feedback","0","32"
"NDY-003","397","compliment","33","61"
"NDY-003","397","encouragement","173","254"
"NDY-003","442","positive feedback","114","136"
"NDY-003","458","encouragement","158","209"
"NDY-003","481","compliment","16","33"
"NDY-003","500","compliment","0","42"
"NDY-003","502","ambiguous","0","18"
"NDY-003","517","ambiguous","0","7"
"NDY-003","518","affection declaration","0","21"
"NDY-003","533","affection declaration","0","22"
"NDY-003","533","positive feedback","23","42"
"NDY-003","533","encouragement","43","60"
"NDY-003","586","positive feedback","0","31"
"NDY-003","586","affection declaration","32","65"
"NDY-003","609","ambiguous","0","19"
"NDY-003","698","compliment","0","28"
"NDY-003","735","compliment","41","64"
"NDY-003","735","encouragement","65","87"
"NDY-003","735","encouragement","88","121"
"NDY-003","777","positive feedback","0","24"
"NDY-003","854","affection declaration","5","42"
"NDY-003","880","affection declaration","40","75"
"NDY-003","897","encouragement","165","190"
"NDY-003","954","affection declaration","0","21"
"NDY-003","992","positive feedback","0","28"
"NDY-003","1044","positive feedback","0","15"
"NDY-003","1046","positive feedback","0","40"
"NDY-003","1046","encouragement","41","57"
"NDY-003","1053","compliment","135","159"
"NDY-003","1053","affection declaration","160","172"
"NDY-003","1073","compliment","0","38"
"NDY-003","1119","affection declaration","0","14"
"NDY-003","1148","compliment","0","27"
"NDY-003","1158","affection declaration","0","24"
"NDY-003","1180","compliment","5","27"
"NDY-003","1183","positive feedback","90","157"
"NDY-003","1183","positive feedback","235","252"
"NDY-003","1198","compliment","77","99"
"NDY-003","1228","affection declaration","0","18"
"NDY-003","1254","affection declaration","0","54"
"NDY-003","1271","compliment","0","18"
"NDY-003","1283","compliment","0","20"
"NDY-003","1292","encouragement","169","187"
"NDY-003","1338","positive feedback","0","16"
"NDY-003","1340","positive feedback","0","4"
"NDY-003","1349","compliment","0","20"
"NDY-003","1378","compliment","8","28"
"NDY-003","1378","encouragement","73","86"
"NDY-003","1397","affection declaration","0","31"
"NDY-003","1398","positive feedback","0","19"
"NDY-003","1398","compliment","20","34"
"NDY-003","1435","affection declaration","0","33"
"NDY-003","1435","compliment","0","33"
"NDY-003","1458","positive feedback","0","11"
"NDY-003","1537","encouragement","14","72"
"NDY-003","1554","positive feedback","78","109"
"NDY-003","1554","positive feedback","145","150"
"NDY-003","1554","affection declaration","151","177"
"NDY-003","1589","compliment","45","75"
"NDY-003","1595","positive feedback","0","21"
"NDY-003","1639","affection declaration","0","29"
"NDY-003","1663","affection declaration","0","13"
"NDY-003","1663","affection declaration","69","85"
"NDY-003","1674","encouragement","0","34"
"NDY-003","1697","positive feedback","3","15"
"NDY-003","1704","positive feedback","0","37"
"NDY-003","1704","positive feedback","38","107"
"NDY-003","1737","compliment","0","21"
"NDY-003","1792","ambiguous","0","56"
"NDY-003","1795","compliment","0","31"
"NDY-003","1838","affection declaration","0","13"
"NDY-003","1857","positive feedback","66","96"
"NDY-003","1890","compliment","0","45"
"NDY-003","1901","compliment","77","133"
"NDY-003","1901","positive feedback","134","148"
"NDY-003","1913","compliment","130","159"
"NDY-003","1992","positive feedback","0","18"
"NDY-003","2009","positive feedback","72","98"
"NDY-003","2044","compliment","5","28"
"NDY-003","2044","compliment","33","71"
"NDY-003","2044","affection declaration","110","130"
"NDY-003","2056","compliment","0","20"
"NDY-003","2096","encouragement","0","52"
"NDY-003","2096","compliment","55","81"
"NDY-003","2120","positive feedback","0","13"
"NDY-003","2120","compliment","14","34"
"NDY-003","2127","affection declaration","387","405"
"NDY-003","2127","compliment","410","441"
"NDY-003","2134","positive feedback","137","144"
"NDY-003","2136","compliment","0","24"
"NDY-003","2136","encouragement","25","34"
"NDY-003","2136","encouragement","35","71"
"NDY-003","2136","encouragement","72","117"
"NDY-003","2190","compliment","0","20"
"NDY-003","2208","affection declaration","41","68"
"NDY-003","2208","positive feedback","69","82"
"NDY-003","2214","affection declaration","0","18"
"NDY-003","2232","compliment","0","26"
"NDY-003","2248","positive feedback","0","4"
"NDY-003","2287","affection declaration","83","94"
"NDY-003","2291","compliment","130","175"
"NDY-003","2309","affection declaration","0","11"
"NDY-003","2311","positive feedback","0","8"
"NDY-003","2311","positive feedback","9","21"
"NDY-003","2324","affection declaration","0","44"
"NDY-003","2349","compliment","0","20"
"NDY-003","2349","implicit","21","68"
"NDY-003","2349","positive feedback","69","85"
"NDY-003","2358","encouragement","0","35"
"NDY-003","2358","positive feedback","61","76"
"NDY-003","2363","positive feedback","0","23"
"NDY-003","2384","affection declaration","0","21"
"NDY-003","2438","compliment","0","32"
"NDY-003","2465","compliment","312","342"
"NDY-003","2497","positive feedback","0","21"
"NDY-003","2497","compliment","22","38"
"NDY-003","2497","positive feedback","39","75"
"NDY-003","2497","encouragement","76","89"
"NDY-003","2579","positive feedback","0","13"
"NDY-003","2593","affection declaration","72","90"
"NDY-003","2593","group membership","95","119"
"NDY-003","2618","affection declaration","0","16"
"NDY-003","2618","positive feedback","80","109"
"NDY-003","2623","positive feedback","0","13"
"NDY-003","2744","compliment","0","37"
"NDY-003","2744","encouragement","98","172"
"NDY-003","2744","affection declaration","173","195"
"NDY-003","2745","compliment","41","66"
"NDY-003","2745","positive feedback","67","160"
"NDY-003","2745","positive feedback","161","186"
"NDY-003","2745","positive feedback","187","210"
"NDY-003","2745","sympathy","275","303"
"NDY-003","2745","group membership","342","383"
"NDY-003","2773","compliment","0","41"
"NDY-003","2773","positive feedback","42","60"
"NDY-003","2773","compliment","61","79"
"NDY-003","2792","ambiguous","0","3"
"NDY-003","2800","ambiguous","0","3"
"NDY-003","2829","encouragement","0","36"
"NDY-003","2831","affection declaration","0","24"
"NDY-003","2848","ambiguous","0","3"
"NDY-003","2852","compliment","16","47"
"NDY-003","2852","encouragement","48","62"
"NDY-003","2852","affection declaration","63","82"
"NDY-003","2855","positive feedback","0","2"
"NDY-003","2875","affection declaration","0","19"
"NDY-003","2875","compliment","20","48"
"NDY-003","2901","positive feedback","0","12"
"NDY-003","2901","affection declaration","13","38"
"NDY-003","2936","positive feedback","0","4"
"NDY-003","2944","positive feedback","0","9"
"NDY-003","2981","affection declaration","35","50"
"NDY-003","2983","positive feedback","0","2"
"NDY-003","2983","positive feedback","3","19"
"NDY-003","2983","encouragement","20","47"
"NDY-003","2993","compliment","0","32"
"NDY-003","3019","positive feedback","0","4"
"NDY-003","3026","positive feedback","0","13"
"NDY-003","3026","affection declaration","19","50"
"NDY-003","3029","positive feedback","0","9"
"NDY-003","3064","affection declaration","0","15"
"NDY-003","3069","ambiguous","0","3"
"NDY-003","3129","positive feedback","29","32"
"NDY-003","3129","positive feedback","38","42"
"NDY-003","3156","positive feedback","41","84"
"NDY-003","3209","positive feedback","0","4"
"NDY-003","3221","affection declaration","0","19"
"NDY-003","3316","positive feedback","0","12"
"NDY-003","3338","compliment","43","71"
"NDY-003","3350","positive feedback","0","4"
"NDY-003","3357","positive feedback","0","3"
"NDY-003","3379","encouragement","0","49"
"NDY-003","3379","compliment","50","68"
"NDY-003","3389","positive feedback","0","18"
"NDY-003","3397","compliment","36","62"
"NDY-003","3417","positive feedback","0","25"
"NDY-003","3420","positive feedback","0","1"
"NDY-003","3456","compliment","153","240"
"NDY-003","3489","compliment","0","12"
"NDY-003","3526","implicit","0","15"
"NDY-003","3549","compliment","192","209"
"NDY-003","3569","agreement","13","23"
"NDY-003","3586","positive feedback","0","42"
"NDY-003","3590","positive feedback","0","18"
"NDY-003","3594","ambiguous","0","3"
"NDY-003","3661","ambiguous","0","3"
"NDY-003","3733","positive feedback","0","1"
"NDY-003","3800","positive feedback","35","37"
"NDY-003","3804","positive feedback","0","23"
"NDY-020","22","positive feedback","0","27"
"NDY-020","29","positive feedback","0","20"
"NDY-020","31","positive feedback","0","10"
"NDY-020","31","positive feedback","11","39"
"NDY-020","31","affection declaration","40","56"
"NDY-020","36","positive feedback","0","25"
"NDY-020","36","positive feedback","58","59"
"NDY-020","36","encouragement","60","82"
"NDY-020","51","positive feedback","0","44"
"NDY-020","57","positive feedback","0","29"
"NDY-020","57","compliment","30","54"
"NDY-020","78","positive feedback","0","63"
"NDY-020","78","compliment","66","97"
"NDY-020","78","positive feedback","98","143"
"NDY-020","78","positive feedback","144","179"
"NDY-020","81","positive feedback","0","31"
"NDY-020","81","positive feedback","32","58"
"NDY-020","82","positive feedback","0","35"
"NDY-020","82","positive feedback","85","118"
"NDY-020","124","positive feedback","0","37"
"NDY-020","124","compliment","49","81"
"NDY-020","125","positive feedback","0","50"
"NDY-020","125","gratitude","51","113"
"NDY-020","126","positive feedback","0","35"
"NDY-020","126","compliment","36","123"
"NDY-020","127","positive feedback","0","30"
"NDY-020","127","positive feedback","33","85"
"NDY-020","134","compliment","0","21"
"NDY-020","138","compliment","0","28"
"NDY-020","150","positive feedback","0","31"
"NDY-020","175","positive feedback","0","20"
"NDY-020","182","positive feedback","0","46"
"NDY-020","182","compliment","47","70"
"NDY-020","182","positive feedback","75","126"
"NDY-020","205","affection declaration","0","114"
"NDY-020","228","positive feedback","0","26"
"NDY-020","228","encouragement","27","50"
"NDY-020","228","compliment","51","86"
"NDY-020","228","affection declaration","87","96"
"NDY-020","230","compliment","0","31"
"NDY-020","254","compliment","0","24"
"NDY-020","278","positive feedback","0","63"
"NDY-020","278","compliment","64","125"
"NDY-020","278","encouragement","126","146"
"NDY-020","278","positive feedback","147","188"
"NDY-020","278","positive feedback","266","288"
"NDY-020","278","encouragement","289","318"
"NDY-020","352","affection declaration","15","45"
"NDY-020","353","agreement","0","14"
"NDY-020","355","agreement","0","36"
"NDY-020","356","compliment","0","11"
"NDY-020","364","compliment","0","7"
"NDY-020","389","positive feedback","0","11"
"NDY-020","395","affection declaration","0","6"
"NDY-020","395","compliment","7","39"
"NDY-020","398","positive feedback","0","5"
"NDY-020","398","positive feedback","6","25"
"NDY-020","398","compliment","28","43"
"NDY-020","398","positive feedback","44","128"
"NDY-020","398","positive feedback","131","235"
"NDY-020","398","positive feedback","238","290"
"NDY-020","398","positive feedback","293","304"
"NDY-020","398","positive feedback","307","320"
"NDY-020","398","positive feedback","371","384"
"NDY-020","398","positive feedback","387","433"
"NDY-020","398","affection declaration","387","433"
"NDY-020","413","positive feedback","0","11"
"NDY-020","423","compliment","0","28"
"NDY-020","423","affection declaration","29","60"
"NDY-020","423","positive feedback","29","60"
"NDY-020","423","encouragement","61","83"
"NDY-020","449","positive feedback","0","40"
"NDY-020","461","affection declaration","0","18"
"NDY-020","461","positive feedback","19","46"
"NDY-020","469","positive feedback","0","19"
"NDY-020","476","positive feedback","0","52"
"NDY-020","479","positive feedback","0","33"
"NDY-020","481","positive feedback","0","30"
"NDY-020","481","positive feedback","33","78"
"NDY-020","488","positive feedback","0","62"
"NDY-020","488","positive feedback","63","147"
"NDY-020","488","compliment","150","261"
"NDY-020","488","encouragement","262","280"
"NDY-020","501","positive feedback","0","29"
"NDY-020","504","positive feedback","60","69"
"NDY-020","531","positive feedback","0","73"
"NDY-020","531","compliment","0","73"
"NDY-020","547","positive feedback","0","27"
"NDY-020","547","positive feedback","28","103"
"NDY-020","547","positive feedback","104","173"
"NDY-020","547","encouragement","174","212"
"NDY-020","597","positive feedback","0","20"
"NDY-020","597","positive feedback","21","41"
"NDY-020","597","affection declaration","42","56"
"NDY-020","601","positive feedback","0","3"
"NDY-020","601","positive feedback","4","20"
"NDY-020","606","compliment","31","58"
"NDY-020","616","positive feedback","8","26"
"NDY-020","667","compliment","0","40"
"NDY-020","702","positive feedback","0","13"
"NDY-020","702","positive feedback","14","32"
"NDY-020","714","positive feedback","0","88"
"NDY-020","714","positive feedback","91","168"
"NDY-020","714","positive feedback","171","250"
"NDY-020","714","gratitude","254","280"
"NDY-020","715","positive feedback","0","34"
"NDY-020","715","compliment","35","60"
"NDY-020","716","positive feedback","0","17"
"NDY-020","716","positive feedback","18","38"
"NDY-020","716","compliment","39","58"
"NDY-020","739","positive feedback","0","72"
"NDY-020","752","positive feedback","0","14"
"NDY-020","752","compliment","15","74"
"NDY-020","752","compliment","75","84"
"NDY-020","752","compliment","113","181"
"NDY-020","755","positive feedback","0","72"
"NDY-020","755","positive feedback","73","86"
"NDY-020","755","compliment","87","116"
"NDY-020","767","positive feedback","0","28"
"NDY-020","767","compliment","138","178"
"NDY-020","767","encouragement","179","196"
"NDY-020","775","positive feedback","167","255"
"NDY-020","775","compliment","258","285"
"NDY-020","775","positive feedback","608","657"
"NDY-020","775","compliment","662","713"
"NDY-020","801","positive feedback","0","5"
"NDY-020","801","positive feedback","6","29"
"NDY-020","801","compliment","33","63"
"NDY-020","826","compliment","0","41"
"NDY-020","826","compliment","42","71"
"NDY-020","826","compliment","76","108"
"NDY-020","830","positive feedback","0","10"
"NDY-020","832","positive feedback","0","33"
"NDY-020","832","positive feedback","34","90"
"NDY-020","835","compliment","0","33"
"NDY-020","837","positive feedback","0","10"
"NDY-020","846","positive feedback","0","21"
"NDY-020","846","affection declaration","22","67"
"NDY-020","849","positive feedback","0","36"
"NDY-020","863","positive feedback","0","38"
"NDY-020","885","gratitude","0","12"
"NDY-020","885","positive feedback","13","92"
"NDY-020","885","compliment","93","134"
"NDY-020","885","compliment","137","195"
"NDY-020","885","affection declaration","198","244"
"NDY-020","895","positive feedback","0","41"
"NDY-020","895","compliment","42","64"
"NDY-020","895","positive feedback","65","95"
"NDY-020","903","positive feedback","19","43"
"NDY-020","903","positive feedback","44","69"
"NDY-020","903","positive feedback","72","174"
"NDY-020","933","positive feedback","0","27"
"NDY-020","933","positive feedback","28","68"
"NDY-020","933","positive feedback","69","101"
"NDY-020","933","compliment","102","132"
"NDY-020","933","affection declaration","133","165"
"NDY-020","933","encouragement","166","184"
"NDY-020","933","positive feedback","185","241"
"NDY-020","934","group membership","0","37"
"NDY-020","934","positive feedback","42","102"
"NDY-020","934","affection declaration","105","216"
"NDY-020","934","gratitude","217","222"
"NDY-020","937","compliment","0","25"
"NDY-020","952","positive feedback","0","22"
"NDY-020","952","compliment","27","48"
"NDY-020","952","gratitude","53","82"
"NDY-020","952","encouragement","83","143"
"NDY-020","952","positive feedback","83","143"
"NDY-020","952","compliment","83","143"
"NDY-020","952","implicit","146","189"
"NDY-020","971","positive feedback","0","3"
"NDY-020","971","positive feedback","6","67"
"NDY-020","971","compliment","70","111"
"NDY-020","971","compliment","112","194"
"NDY-020","971","compliment","195","263"
"NDY-020","971","compliment","264","285"
"NDY-020","996","compliment","0","99"
"NDY-020","1015","positive feedback","0","24"
"NDY-020","1020","positive feedback","0","38"
"NDY-020","1020","compliment","41","74"
"NDY-020","1020","positive feedback","220","249"
"NDY-020","1020","positive feedback","379","471"
"NDY-020","1020","compliment","474","536"
"NDY-020","1020","positive feedback","537","547"
"NDY-020","1040","positive feedback","0","15"
"NDY-020","1063","positive feedback","0","30"
"NDY-020","1063","compliment","31","64"
"NDY-020","1063","affection declaration","69","98"
"NDY-020","1080","compliment","0","26"
"NDY-020","1086","positive feedback","24","43"
"NDY-020","1111","positive feedback","1020","1052"
"NDY-020","1111","compliment","1077","1119"
"NDY-020","1151","affection declaration","0","73"
"NDY-020","1151","compliment","74","101"
"NDY-020","1151","affection declaration","102","126"
"NDY-020","1164","positive feedback","0","91"
"NDY-020","1164","positive feedback","92","174"
"NDY-020","1164","encouragement","175","255"
"NDY-020","1170","positive feedback","0","17"
"NDY-020","1177","positive feedback","0","3"
"NDY-020","1181","compliment","0","17"
"NDY-020","1186","positive feedback","21","51"
"NDY-020","1206","positive feedback","0","51"
"NDY-020","1214","compliment","0","20"
"NDY-020","1230","positive feedback","0","70"
"NDY-020","1230","affection declaration","71","139"
"NDY-020","1230","positive feedback","140","211"
"NDY-020","1230","affection declaration","223","258"
"NDY-020","1264","compliment","0","31"
"NDY-020","1266","positive feedback","0","15"
"NDY-020","1282","positive feedback","0","9"
"NDY-020","1310","positive feedback","0","11"
"NDY-020","1310","positive feedback","12","25"
"NDY-020","1324","positive feedback","0","29"
"NDY-020","1324","positive feedback","30","65"
"NDY-020","1482","positive feedback","0","11"
"NDY-020","1484","positive feedback","0","25"
"NDY-020","1500","compliment","0","23"
"NDY-020","1502","affection declaration","0","12"
"NDY-020","1502","compliment","13","42"
"NDY-020","1502","compliment","43","76"
"NDY-020","1502","encouragement","107","122"
"NDY-020","1538","positive feedback","0","63"
"NDY-020","1539","positive feedback","0","64"
"NDY-020","1539","ambiguous","67","126"
"NDY-020","1542","positive feedback","0","2"
"NDY-020","1544","positive feedback","0","3"
"NDY-020","1552","ambiguous","0","64"
"NDY-020","1573","agreement","13","35"
"NDY-020","1573","positive feedback","118","119"
"NDY-179","6","positive feedback","0","13"
"NDY-179","29","positive feedback","0","11"
"NDY-179","29","positive feedback","12","48"
"NDY-179","38","positive feedback","0","22"
"NDY-179","85","positive feedback","0","8"
"NDY-179","125","positive feedback","0","12"
"NDY-179","125","affection declaration","15","48"
"NDY-179","129","positive feedback","0","35"
"NDY-179","142","positive feedback","49","65"
"NDY-179","170","positive feedback","0","19"
"NDY-179","170","positive feedback","20","36"
"NDY-179","170","positive feedback","37","111"
"NDY-179","170","positive feedback","121","133"
"NDY-179","212","positive feedback","0","43"
"NDY-179","212","compliment","44","67"
"NDY-179","269","positive feedback","0","4"
"NDY-179","277","positive feedback","0","14"
"NDY-179","277","positive feedback","15","47"
"NDY-179","279","positive feedback","0","21"
"NDY-179","287","positive feedback","0","4"
"NDY-179","318","affection declaration","0","22"
"NDY-179","318","positive feedback","23","67"
"NDY-179","321","compliment","135","189"
"NDY-179","321","compliment","273","290"
"NDY-179","323","positive feedback","0","15"
"NDY-179","352","positive feedback","37","74"
"NDY-179","382","positive feedback","0","4"
"NDY-179","393","positive feedback","0","41"
"NDY-179","408","positive feedback","0","18"
"NDY-179","408","positive feedback","52","53"
"NDY-179","408","positive feedback","54","116"
"NDY-179","429","positive feedback","0","24"
"NDY-179","429","encouragement","25","43"
"NDY-179","431","positive feedback","0","7"
"NDY-179","453","encouragement","0","45"
"NDY-179","465","positive feedback","0","7"
"NDY-179","465","implicit","63","104"
"NDY-179","479","positive feedback","0","14"
"NDY-179","480","compliment","0","24"
"NDY-179","501","positive feedback","0","16"
"NDY-179","552","affection declaration","0","26"
"NDY-179","552","compliment","27","59"
"NDY-179","561","positive feedback","0","27"
"NDY-179","608","affection declaration","0","27"
"NDY-179","608","group membership","32","64"
"NDY-179","608","positive feedback","432","445"
"NDY-179","608","positive feedback","446","474"
"NDY-179","608","affection declaration","553","575"
"NDY-179","691","affection declaration","52","71"
"NDY-179","691","affection declaration","72","86"
"NDY-179","835","positive feedback","0","17"
"NDY-179","939","affection declaration","0","37"
"NDY-179","996","affection declaration","0","23"
"NDY-179","1004","positive feedback","0","11"
"NDY-179","1014","affection declaration","0","12"
"NDY-179","1107","positive feedback","20","50"
"NDY-179","1176","positive feedback","0","22"
"NDY-179","1176","positive feedback","68","95"
